20210120_OMNIP10UM_M3_SOUND_R,x,y,z,x microns,y microns,z microns,distance microns
CA1,569,324,301,11380,6480,6020,0.0
CA2,571,328,301,11420,6560,6020,89.44271909999159
CA3,573,331,301,11460,6620,6020,161.55374460927138
CA4,575,335,301,11500,6700,6020,250.99646370926297
CA5,578,339,301,11560,6780,6020,350.99646370926297
CM1,442,181,292,8840,3620,5840,0.0
CM2,420,182,292,8400,3640,5840,440.45431091090484
CN1,570,368,333,11400,7360,6660,0.0
CN2,567,392,331,11340,7840,6620,485.38644398046387
SM1,586,360,322,11720,7200,6440,0.0
SM2,577,369,317,11540,7380,6340,273.4958866235469
SM3,568,373,318,11360,7460,6360,471.4857853557802
SM4,558,381,331,11160,7620,6620,836.4515371736734
SM5,569,386,342,11380,7720,6840,1163.2542299410372
SM6,578,396,331,11560,7920,6620,1510.8171738806925
SM7,569,403,324,11380,8060,6480,1778.3989370858856
SM8,563,408,330,11260,8160,6600,1975.3760931218076
ST1,586,356,304,11720,7120,6080,0.0
ST2,577,359,304,11540,7180,6080,189.73665961010275
ST3,568,362,304,11360,7240,6080,379.4733192202055
ST4,584,372,331,11680,7440,6620,1038.2600829002297
ST5,569,377,351,11380,7540,7020,1548.1620342595081
ST6,587,385,331,11740,7700,6620,2109.588788164236
ST7,569,398,314,11380,7960,6280,2668.8740463286185
ST8,550,403,331,11000,8060,6620,3188.4892885992817
SV1,586,383,304,11720,7660,6080,0.0
SV2,577,384,304,11540,7680,6080,181.10770276274835
SV3,568,385,304,11360,7700,6080,362.2154055254967
SV4,544,389,331,10880,7780,6620,1089.1266793409466
SV5,569,399,353,11380,7980,7060,1784.540225369495
SV6,590,404,331,11800,8080,6620,2400.9816256663926
SV7,569,412,313,11380,8240,6260,2976.8288276219114
SV8,557,417,331,11140,8340,6620,3420.9008938454017
