,Unnamed: 0,x,y,z,x microns,y microns,z microns,distance microns
0,CA 1,424,176,97,8480,3520,1940,0.0
1,CA 2,425,177,97,8500,3540,1940,28.284271247461902
2,CA 3,426,178,97,8520,3560,1940,56.568542494923804
3,CA 4,427,179,97,8540,3580,1940,84.8528137423857
4,CA 5,428,180,97,8560,3600,1940,113.13708498984761
5,CA 6,429,181,97,8580,3620,1940,141.4213562373095
6,CA 7,429,182,97,8580,3640,1940,161.4213562373095
7,CA 8,430,183,97,8600,3660,1940,189.7056274847714
8,CA 9,431,184,97,8620,3680,1940,217.9898987322333
9,CA 10,432,185,97,8640,3700,1940,246.27416997969522
10,CA 11,433,186,97,8660,3720,1940,274.5584412271571
11,CA 12,434,187,97,8680,3740,1940,302.842712474619
12,CA 13,435,188,97,8700,3760,1940,331.1269837220809
13,CA 15,437,189,97,8740,3780,1940,375.8483432720767
14,CA 14,436,189,97,8720,3780,1940,395.8483432720767
15,CA 16,438,190,97,8760,3800,1940,440.5697028220725
16,CA 17,439,191,97,8780,3820,1940,468.8539740695344
17,CA 18,440,192,97,8800,3840,1940,497.1382453169963
18,CA 19,441,193,97,8820,3860,1940,525.4225165644582
