Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [0]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [0]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [1]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [1]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [2]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [2]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [3]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [3]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [4]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [4]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [5]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [5]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [6]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [6])
0,Clear Label,48124109,384.993,456.189,1318.96,494.954,1356.96,652.148,1635.13,634.447,1526.93,564.39,1364.83,545.522,1337.31,528.415,1326.32
1,CA1,27,0.000216,241.095,280.764,2488.63,436.623,4303.5,761.026,3101.53,750.994,1809.74,281.877,1388.27,344.629,1221.39,381.76
2,CA2,27,0.000216,451.995,437.303,2394.33,527.705,3549.1,388.032,2504.29,564.612,2077.81,530.863,1375.95,531.437,1148.55,476.932
3,CA3,27,0.000216,751.391,525.198,2597.96,825.63,3155.41,493.629,2533.6,667.962,1840.35,597.311,1882.36,613.488,1532.89,627.32
4,CA4,27,0.000216,546.003,609.606,2167.22,705.079,2009.9,468.724,2458.52,377.973,1444.98,540.082,1380.12,400.862,1033.41,637.969
5,CA5,27,0.000216,1220.26,439.416,1375.7,513.229,1840.26,474.888,1977.41,248.891,1511.63,352.968,1729.22,321.189,1204.51,282.897
6,ST1,27,0.000216,95.0514,297.348,278.639,322.464,244.937,392.897,605.89,215.1,482.231,292.356,660.223,270.562,615.746,364.65
7,SV1,27,0.000216,237.378,276.255,301.4,268.61,497.433,239.103,302.152,320.765,345.752,282.954,379.579,235.812,280.56,146.898
8,ST2,27,0.000216,240.051,315.193,413.699,251.906,492.38,331.116,674.464,278.752,810.568,224.407,687.076,292.393,719.442,285.289
9,SV2,27,0.000216,-44.7694,250.57,436.46,285.552,198.915,300.63,272.584,312.047,186.762,207.377,590.689,229.298,487.661,236.735
10,ST3,27,0.000216,308.875,259.319,465.067,366.829,343.664,249.523,629.611,432.073,890.418,235.928,647.486,222.615,641.931,280.819
11,SV3,27,0.000216,385.384,215.768,451.745,326.862,374.484,268.862,22.0506,219.326,173.022,269.267,291.126,285.923,310.588,219.902
12,ST4,27,0.000216,556.736,274.803,171.769,271.414,313.386,319.049,647.444,275.953,484.528,275.575,741.284,470.408,566.299,338.697
13,SV4,27,0.000216,243.058,349.641,306.704,259.84,207.309,247.34,220.339,360.361,334.893,284.796,-108.248,228.094,253.624,300.32
14,ST5,27,0.000216,46.4399,282.956,465.025,243.321,112.717,342.963,83.1073,260.723,308.583,360.884,336.606,322.649,616.414,258.18
15,SV5,27,0.000216,215.829,258.022,175.277,361.434,149.719,328.595,263.02,281.3,425.518,326.325,277.261,257.549,124.912,293.312
16,ST6,27,0.000216,191.565,266.386,-44.6859,330.952,-25.3498,222.291,121.487,256.297,-135.06,409.799,54.3748,267.709,120.234,219.866
17,SV6,27,0.000216,498.31,338.405,306.077,376.104,4.21801,283.51,-6.55671,393.308,364.002,395.555,127.793,211.897,404.846,237.199
18,ST7,27,0.000216,224.432,229.058,385.426,347.643,211.861,212.362,281.855,295.349,241.805,283.402,557.905,230.932,212.279,312.641
19,SV7,27,0.000216,357.069,277.718,611.361,279.982,241.095,214.817,394.572,283.967,349.301,207.961,139.737,288.176,426.479,224.111
20,ST8,27,0.000216,294.593,308.384,177.908,255.598,230.487,301.954,74.9637,278.025,389.31,268.709,356.944,326.503,132.554,281.904
21,SV8,27,0.000216,376.656,297.535,618.878,333.466,206.39,228.203,356.276,458.989,262.352,240.895,521.781,207.068,369.89,307.338
22,SM1,27,0.000216,689.875,238.696,875.968,465.432,733.433,320.478,1109.8,332.529,959.243,254.255,1011.7,355.348,969.641,303.035
23,SM2,27,0.000216,549.511,222.663,1094.43,400.806,690.083,297.016,1163.42,469.478,1027.86,359.514,997.497,300.456,1057.55,313.105
24,SM3,27,0.000216,978.328,316.304,605.473,418.368,833.579,277.8,938.445,297.829,1166.8,258.6,942.245,348.24,1086.45,311.489
25,SM4,27,0.000216,401.17,288.869,595.366,322.88,379.12,255.366,843.602,355.243,746.964,395.59,680.353,385.886,794.448,321.291
26,SM5,27,0.000216,649.24,195.255,712.51,303.059,307.748,292.411,611.361,278.249,731.386,242.026,397.662,176.373,623.055,193.09
27,SM6,27,0.000216,356.652,228.561,399.166,330.053,104.448,333.943,308.291,277.121,574.109,389.333,636.293,185.487,334.35,223.044
28,SM7,27,0.000216,542.119,233.3,548.676,266.513,600.586,231.451,466.028,243.856,692.255,241.896,518.022,225.081,673.42,217.202
29,SM8,27,0.000216,293.841,248.139,399.834,358.53,-96.0955,388.552,33.7859,306.875,226.478,227.959,370.809,227.643,184.799,377.169
30,CN1,27,0.000216,-65.6506,366.892,375.111,422.428,328.796,327.921,220.339,361.273,638.757,240.691,536.105,241.178,437.42,266.665
31,CN2,27,0.000216,687.369,225.93,707.248,263.708,739.739,268.799,366.132,373.815,869.996,237.942,770.977,310.977,674.13,477.391
32,CM1,27,0.000216,-1663.02,2275.42,1886.04,2835.56,10691.9,2519.09,3262.36,2739.86,637.588,1977.57,-396.952,2585.71,-423.555,2077.87
33,CM2,27,0.000216,2363.38,2234.68,10633.1,2164.69,17488.5,2535.61,8195.8,2688.57,4620.31,2010.4,4449.46,2032.66,3224.9,1819.76
